Bigram,PMI
Nicky Hilton,21.095642905098764
Rishabh Pant,20.875488955958314
यूक्रेनियन रिव्निया,20.67517151976929
इंश्‍ योरेंस,20.618483693912122
विष्‍ णु,20.607764598934423
वीड‍ ियो,20.582201701758926
भा0 द0,20.569574093431175
मु0 अ0,20.56905033410762
ab tak,20.508445399994297
Hari Bhoomi,20.45112355969715
ऐश्‍ वर्या,20.416053810824437
Malaika Arora,20.41167039854644
Ujjawal Prabhat,20.358677310932556
Pradhan Mantri,20.35831441442935
Deepika Padukone,20.343619691755382
ब्यूनस आयर्स,20.328445109513144
गुड़ी पड़वा,20.315810661320697
धन्‍ यवाद,20.305286293364173
वेनेज़ुएला बोलिवर,20.29463594912364
द0 वि0,20.247645998543813
Mouli Ganguly,20.229943996810356
Rhea Chakraborty,20.172458502149595
यमला पगला,20.156663343044627
Dinesh Bhardwaj,20.13628488959611
हंगेरियन फ़ोरिंट,20.12806438279114
विले पार्ले,20.117669211428762
Hindustan ab,20.09793471660675
Shilpa Shetty,20.0840931303469
गुलाबो सिताबो,20.050555015570225
वीरप्पा मोइली,20.045016832028796
Sapna Choudhary,20.02833297013934
Sonu Sood,20.023776918899443
Ashok Gehlot,20.01953992601297
बहत THB,19.961056864731123
नॉर्वेजियन क्रोन,19.94386525036671
फ़ोरिंट HUF,19.94081376757495
tak Dinesh,19.918104719546577
Pen Bhakti,19.895171102019237
क्रोन NOK,19.87653987174546
Kangana Ranaut,19.854316628377845
मार्क्‍ सवादी,19.774223787122974
Joe Biden,19.745344603785025
Arvind Kejriwal,19.744331003430307
जायडस कैडिला,19.72805256822238
श्रीवास्‍ तव,19.712869254990874
नक्‍ सलियों,19.692678238120493
महोत्‍ सव,19.687491791405158
Donald Trump,19.674113761111578
नाइजीरियाई नाइरा,19.67382605644597
Tokyo Olympics,19.671109494446057
मा‌ र्क्स,19.665968217174992
मुनेत्र कड़गम,19.659028327281465
हॉन्ग कॉन्ग,19.653383937084897
ज़्लॉटी PLN,19.644981496089198
पहलाज निहलानी,19.63406281988289
💐 💐,19.61877685225925
जूलियन कलेण्डर,19.611743547675115
तिग्मांशु धूलिया,19.59829505233518
सल्लल्लाहु अलैहि,19.571918033899475
गंगूबाई काठियावाड़ी,19.552953474453883
तिलकरत्ने दिलशान,19.552500580072234
अंतरराष्टï ्रीय,19.550095085490952
मुहम्मदाबाद गोहना,19.543101882069983
ब्रे वायट,19.51809787594009
Fact Check,19.50998361854378
Weight Loss,19.49738358176415
Amitabh Bachchan,19.493061199570388
छत्‍ तीसगढ़,19.489463918467912
कोस्टा रिका,19.48727997179753
पश्‍ चात,19.46036145106205
कानन पेंडारी,19.443764940531352
कवासी लखमा,19.4431448914274
Dainik Bhaskar,19.42703132923519
Katrina Kaif,19.39709990031925
रश्मिका मंदाना,19.393809951657804
Royal Rumble,19.37804263579949
अ0 सं0,19.374420047478303
